SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
MAD2,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,174.84,96.45,,32.32,29.9,0.7,,36.35,117.77,53.81,0.0,0.0,,,,6.78,,,,140.64,88.69,12.5
PAIN,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,14.81,28.96,,24.66,19.9,,,53.21,54.04,26.49,0.0,0.79,,,,6.04,,,,113.76,117.75,9.0
VT36,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,4.32,20.19,,23.36,14.2,,,28.61,32.63,21.65,0.29,0.54,,,,5.62,,,,107.56,72.57,9.5
VT61,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,376.14,206.41,,47.8,48.5,,,13.7,181.87,132.32,0.0,0.0,,,,7.42,,,,290.27,90.06,11.0
VT45,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,63.36,33.13,,25.75,17.7,,,27.34,67.71,41.92,0.0,0.0,,,,6.58,,,,121.33,70.19,12.0
DR01,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,8.45,19.63,,26.94,16.2,,,38.17,38.53,26.18,0.0,0.0,,,,5.63,,,,100.4,85.4,11.5
VT51,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,313.91,189.48,,49.14,45.0,,,19.86,179.45,99.48,0.0,0.0,,,,7.42,,,,213.64,107.28,10.0
VT62,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,117.53,75.1,,31.84,20.1,,,14.61,53.69,71.82,0.0,0.71,,,,6.93,,,,178.58,43.38,10.0
VT04,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,39.2,27.25,,18.37,13.0,,,12.44,19.9,64.91,0.0,0.0,,,,6.43,,,,152.39,55.05,6.0
VT01,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,93.08,97.0,,14.01,20.9,,,11.98,41.82,60.75,0.0,42.02,,,,6.73,,,,144.75,38.13,7.0
VT06,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,85.43,54.68,,13.73,16.9,,,17.86,64.11,38.35,0.0,0.0,,,,6.64,,,,102.91,64.94,6.0
WOR1,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,51.51,39.03,,22.22,19.8,,,49.59,62.93,23.7,0.0,1.41,,,,6.19,,,,98.66,80.11,12.0
VT31,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,-1.39,32.26,,22.57,14.9,,,12.73,37.11,13.9,0.0,1.62,,,,5.12,,,,78.74,70.06,9.0
VT34,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,79.48,85.14,,19.01,17.8,,,13.99,50.97,18.9,0.0,0.0,,,,6.77,,,,92.1,65.26,8.0
VT43,VTSSS,2007-10-29 00:00:00,Stream,Regular,Stream,,,64.7,44.35,,19.77,11.5,,,8.73,15.9,43.4,0.0,0.0,,,,6.41,,,,110.99,20.92,11.0
